"Judul","Sinopsis","Genre"
"Ritual Setan","Padma jelas bisa membedakan apa itu mantra, dan apa itu doa. Dia merinding mendengar kata-kata itu keluar dari mulut ayahnya. Sayangnya itu baru permulaan. 

Padma hidup bersama kedua orang tuanya dengan segala problematika. Tuntutan hidup semakin tinggi, tetapi tak satu pun jalan keluar mereka temui. Ayah Padma mengambil solusi yang paling mungkin ia lakukan, meski ia tahu ini akan berbuah kutukan. 

Ritual demi ritual ia lakukan. la sudah menyatu dengan iblis dan setan. Padma dan ibunya tak menyadari bahwa kekayaan yang mereka dapatkan harus ditukar dengan petaka. Seperti tak kenal kata impas, ilmu hitam yang didalami ayah Padma mengganas. 

Ada harga yang harus dibayar dari sebuah pertukaran. Tidak ada yang menyangka bahwa yang diminta adalah segalanya. Bukan hanya pertaruhan nyawa, tetapi juga jiwa yang menghamba selamanya.

Tahun Terbit : Cetakan Pertama, 2024

Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan.
 
Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas.

Tetapkan waktu khusus untuk membaca setiap hari. Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi.

Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca.
 
Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik.

Buat catatan atau jurnal tentang buku yang telah Anda baca. Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan.","Horor"
"Horor Kampus","""Sudah malam. Pulanglah!""
""Sebentar lagi, Pak, nanggung, sahut salah satu mahasiswa. Mahasiswa itu berkata tanpa melihat siapa yang tengah berbicara dengannya.
""Aku bilang sekali lagi, ini sudah larut. Pulang sana! Suara orang itu terdengar meninggi.
Mendengar bentakan itu, si mahasiswa menoleh pada sumber suara. Ternyata suara itu berasal dari sesosok tubuh tanpa kepala!

Kisah di atas dialami oleh mahasiswa dari salah satu universitas swasta di Ibu kota ketika tengah mengerjakan tugas di salah satu sudut kampusnya. Ya, sudah bukan rahasia jika ada banyak lokasi sepi di berbagai kampus atau sekolah yang wingit. Di tempat-tempat tersebut, si penunggu biasanya tidak mau diganggu. Kalau ada yang berani macam-macam, mereka pasti akan mengancam!

Selain kisah tersebut, buku ini juga memuat cerita horor lain yang disusun berdasarkan kisah nyata dari para saksi mata yang dekat atau bersinggungan langsung dengan makhluk-makhluk tak kasat mata di sekitar rumah, tempat wisata, serta tempat-tempat lainya. Ada pula kisah tentang fenomena-fenomena gaib yang tak pernah terbayangkan sebelumnya, Kisah-kisah tersebut dijamin akan membuat bulu kuduk merinding! Ingat, jangan pernah membaca buku ini sendirian!

Tahun Terbit : Cetakan I,  Maret 2024

Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan.
 
Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas.

Tetapkan waktu khusus untuk membaca setiap hari. Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi.

Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca.
 
Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik.

Buat catatan atau jurnal tentang buku yang telah Anda baca. Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan.","Horor"
"Jagat Alam Gaib : Sinden Gaib","“Aku tidak lagi bisa menyangkalnya ketika ‘dia’ kini berada di sini, di tubuhku. ‘Dia’ menjadikanku tempat tinggalnya.”

Berawal dari niat membantu proyek film pendek untuk memperkenalkan kesenian tarian Turonggo Yakso, Ayu justru mengalami penderitaan yang mengerikan bertahun-tahun. Perempuan itu harus berbagi tubuh dengan sosok sinden bernama Sarinten yang merasukinya di lokasi syuting.

Sudah banyak ‘orang pintar’ yang berusaha mengeluarkan Sarinten dari tubuh Ayu, tapi mereka selalu gagal. Akibatnya, ia mengalami depresi karena sering tiba-tiba kerasukan, dijahui oleh orang sekitarnya, dan cita-citanya terancam hancur.

Apakah Ayu mampu lepas dari jeratan Sarinten?

Sarinten adalah sosok punden di Desa Pandean yang keberadaannya ditakuti sekaligus dihormati oleh warga setempat. Melalui proses penelusuran panjang dan berisiko, tim Bumi Nusantara bertemu para narasumber demi menggali kesenian Turonggo Yakso, kisah hidup Sarinten, dan alasan yang membuat Sarinten begitu tertarik dengan Ayu.

Lewat Jagat Alam Gaib, tim Bumi Nusantara mengajak Sobat Awam menyelisik sosok dan kasus supranatural yang tak biasa dan mungkin, sengaja ditutupi keberadaannya.

                                                                                                       *************

Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan. Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas. Tetapkan waktu khusus untuk membaca setiap hari. 

Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi. Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca. Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik. Bergabunglah dalam kelompok membaca atau forum literasi. Diskusikan buku yang Anda baca dan dapatkan rekomendasi dari sesama pembaca. Buat catatan atau jurnal tentang buku yang telah Anda baca. 

Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan. Libatkan keluarga dalam kegiatan membaca. Bacakan cerita untuk anak-anak atau ajak mereka membaca bersama. Ini menciptakan ikatan keluarga yang erat melalui kegiatan positif. Jangan ragu untuk menjelajahi genre baru. Terkadang, kejutan terbaik datang dari buku yang tidak pernah Anda bayangkan akan Anda nikmati. Manfaatkan teknologi dengan membaca buku digital atau bergabung dalam komunitas literasi online. Ini membuka peluang untuk terhubung dengan pembaca dari seluruh dunia.","Horor"
"Death Note - Another Note The Los Angeles Bb Murder Cases -","Tiga pembunuhan keji terjadi di berbagai wilayah di Los Angeles. Korbannya seorang lelaki, seorang anak-anak, dan seorang perempuan muda. Di setiap tempat kejadian perkara yang terkunci dari dalam ditemukan wara ningyo, boneka jerami Jepang yang biasa dipakai untuk mengutuk seseorang. Polisi dibuat bingung oleh metode pembunuhan yang berbeda-beda, tetapi detektif terhebat abad ini yang tak pernah memperlihatkan diri, L, mulai mengendus motif pelaku. Pertarungan inteligensi antara L dan pelaku pembunuhan berantai di Los Angeles pun dimulai!

Death Note adalah manga karya Tsugumi Ohba dan Takeshi Obata yang diterbitkan di Jepang antara tahun 2003 dan 2006. Cerita ini berpusat pada Light Yagami, seorang siswa SMA yang menemukan buku catatan supernatural bernama Death Note. Buku ini memiliki kekuatan untuk membunuh siapa saja yang namanya tertulis di dalamnya.

Death Note adalah manga yang penuh dengan ketegangan, suspense, dan moralitas. Cerita ini mengeksplorasi tema-tema seperti keadilan, kekuasaan, dan konsekuensi dari tindakan kita. Manga ini telah diadaptasi menjadi anime, film live-action, dan berbagai media lainnya.

KEUNGGULAN:
Spin off dari komik Death Note yang sangat terkenal di Jepang
Novel best seller di Jepang
Di Indonesia terbit dalam edisi eksklusif hard cover
Di Indonesia, novel ini sudah beberapa kali cetak ulang","Horor"
"Gerbang Dua Semesta","Kamu adalah tokoh utama di dalam cerita ini. Ya, kamu! Di sini, kamu memiliki kekuatan supranatural. Kamu bisa berinteraksi dengan makhluk halus, bahkan masuk ke dalam dunia mereka. Tentu saja hal tersebut bukan sesuatu yang kamu inginkan. Sebaliknya, kekuatan itu justru merepotkanmu. 

Bagaimana tidak? Gara-gara kekuatan itu, kamu jadi bisa melihat hantu yang wujudnya ngeselin tiap hari. Belum lagi kalau ada makhluk halus yang tertarik kepadamu dan akhirnya mengikutimu. Akan tetapi, itu semua belum apa-apa dibandingkan bahaya yang tengah mengadangmu. Semua bermula tatkala kamu dihampiri oleh mimpi-mimpi aneh. Salah satu sahabatmu bahkan mengalami peristiwa mistis yang nyaris merengut nyawanya. Dalam upaya menolong sahabatmu itu, kamu mengetahui kenyataan bahwa ada entitas jahat yang berencana membunuhmu untuk mengoleksi jiwamu. 

Kamu pun harus mencari cara untuk mencegah hal tersebut. Kamu dibantu oleh seorang pemuda misterius yang memiliki kekuatan seperti dirimu. Bersamanya, kamu harus membuka gerbang dua semesta untuk mengalahkan entitas jahat yang mengincarmu itu. Tak ada cara lain, kendati ada dunia yang tak semestinya kamu masuki ... karena mungkin di sanalah kematian justru sedang menunggumu ....

Selling Point:
Mendapat pujian dari Dee Lestari Berisi cerita horor dengan suguhan aksi yang ciamik.

Profil Penulis:
ADHAM T. FUSAMA adalah nama pena dari penulis, editor, dan produser kelahiran Jakarta. Sebagai penulis, dia telah menerbitkan beberapa judul buku. Salah satu karyanya adalah novel best seller Surat dari Kematian, yang telah diadaptasi menjadi sebuah film layar lebar berjudul sama. Novel lainnya, Anak Gembala yang Tertidur Panjang di Akhir Zaman, berhasil meraih Juara II dalam Sayembara Novel Dewan Kesenian Jakarta tahun 2018, dan masuk nominasi Novel Terbaik pada Penghargaan Sastra Kementerian Pendidikan dan Kebudayaan tahun 2020. Sebagai editor, Adham pernah bekerja di beberapa penerbit. Dia telah menangani lebih dari 50 judul buku, baik fiksi maupun nonfiksi, termasuk karya-karya dari penulis terkenal, seperti Dee Lestari, Budi Darma, Seno Gumira Ajidarma, Sapardi Djoko Damono; serta karya-karya penulis internasional dari Orhan Pamuk, Alice Munro, John Steinbeck, dan Haruki Murakami. Saat ini, Adham tinggal di Bogor dan bekerja sebagai kepala divisi produksi di studio televisi internasional. Dia baru saja menyelesaikan pendidikan S2-nya di salah satu perguruan tinggi swasta di Jakarta. Adham dapat disapa melalui Instagram atau TikTok @Indonesianauthor.","Horor"
"Gloomy Sunday","Gloomy Sunday adalah kumpulan cerita horor thriller yang dapat membuat harimu kelam dan tidurmu menjadi tidak tenang. Semua kegelapan dan kegelisahan itu teramu jadi mimpi buruk yang mencekam.

Pernahkah kamu melihat manusia dengan leher panjang keluar dari dalam tas jinjing? Pernahkah kamu bayangkan terjebak di suatu ruangan tak berpintu dan dikelilingi makhluk dengan kepala meleleh?

Nikmatilah sensasi horor  dan seramnya yang tak masuk akal ini hingga kamu tidak bisa melupakannya.

                                                                                                       ************************

Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan. Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas. Tetapkan waktu khusus untuk membaca setiap hari. 

Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi. Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca. Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik. Bergabunglah dalam kelompok membaca atau forum literasi. Diskusikan buku yang Anda baca dan dapatkan rekomendasi dari sesama pembaca. Buat catatan atau jurnal tentang buku yang telah Anda baca. 

Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan. Libatkan keluarga dalam kegiatan membaca. Bacakan cerita untuk anak-anak atau ajak mereka membaca bersama. Ini menciptakan ikatan keluarga yang erat melalui kegiatan positif. Jangan ragu untuk menjelajahi genre baru. Terkadang, kejutan terbaik datang dari buku yang tidak pernah Anda bayangkan akan Anda nikmati. Manfaatkan teknologi dengan membaca buku digital atau bergabung dalam komunitas literasi online. Ini membuka peluang untuk terhubung dengan pembaca dari seluruh dunia.","Horor"
"Perempuan di Rumah No.8","Setelah dihajar suaminya sampai keguguran, Anika melarikan diri dari rumah dan mencari tempat persembunyian. Dari rumah aman di Bogor, ia akhirnya mendapatkan pekerjaan baru di Yogyakarta. Di sana, ia menempati rumah kontrakan mungil bernomor delapan yang telah lama kosong. Tak disangka, rumah itu menyimpan rahasia. 

Sesosok hantu perempuan berleher patah mengganggu malam-malam Anika. Lambat laun, Anika mengetahui bahwa hantu perempuan bernama Lastri itu pun korban kekerasan dalam rumah tangga seperti dirinya. Perkenalan Anika dengan Lastri menguatkan tekadnya untuk menyudahi pernikahannya yang beracun. Anika tak ingin hidupnya berakhir tragis seperti Lastri. Ia juga ingin melepaskan diri dari Reza dan ayah suaminya yang merupakan pejabat berpengaruh. 

Berhasilkah Anika membebaskan diri? Bagaimana jika ia justru ditakdirkan menjadi hantu penunggu rumah nomor delapan yang berikutnya?

Profil Penulis:
Mutiarini lahir di Blora, tumbuh di Bandung, dan menamatkan Pendidikan S1 di Universitas Padjajaran jurusan Ilmu Komunikasi. Pernah bekerja di radio lokal, media online, dan perusahaan tembakau, Muti sekarang berkarir di salah satu perusahaan migas internasional. Muti adalah penulis novel ”Ten Years Challenge” dan ”The Privileged Ones”. Kedua novelnya diterbitkan oleh Gramedia Pustaka Utama dan sempat mendapat predikat best seller. Novel pertamanya, ”Ten Years Challenge”, telah difilmkan dan akan ditayangkan di Viu. Muti juga merupakan praktisi pemasaran dengan dua belas tahun pengalaman. Ia aktif menjadi konsultan, menulis artikel, serta menjadi copywriter untuk berbagai bidang usaha. Di waktu luang, Muti menjadi pembicara di berbagai forum kepenulisan, pengembangan diri, serta pemberdayaan perempuan. Saat ini Muti tinggal di Jakarta berdua dengan putrinya. Muti bisa ditemui di akun Instagramnya, @mutiarinimuti .","Horor"
"Sumur Anjing Gila","Alkisah sebuah sumur tua, tempat terkubur sesuatu yang tak seharusnya, tempat bersemayam sesuatu yang tak kasatmata, yang bangkit setiap kali ada yang mengusiknya.

Selling Point:
Yudhi Herwibowo, menulis cerpen dan novel. Beberapa bukunya di antaranya: Mata Air Air Mata Kumari (sudah diterjemahkan ke dalam bahasa Inggris dengan judul Spring of Kumari’s Tears, bukuKatta), Pandaya Sriwijaya (Bentang), Untung Surapati (Tiga Serangkai), Halaman Terakhir, sebuah novel tentang Jend. Polisi Hoegeng (Nourabooks), dan Sang Penggesek Biola, Roman tentang Wage Rudolf Supratman (Imania), Empat Aku (Marjin Kiri), Terkutuk (Elex Media Komputindo), Cara Terbaik Menulis Kitab Suci (Penerbit Banana), Umbira dan Keajaiban-keajaiban di Kotak Ajaibnya (bukuKatta), Tunas Ibu (Indonesia Tera).

Profil Penulis:
Yudhi Herwibowo, menulis cerpen dan novel. Beberapa bukunya di antaranya: Mata Air Air Mata Kumari (sudah diterjemahkan ke bahasa Inggris dengan judul Spring of Kumari’s Tears, bukuKatta); Pandaya Sriwijaya (Bentang); Untung Surapati (Tiga Serangkai); Halaman Terakhir, sebuah novel tentang Jend. Polisi Hoegeng (Nourabooks); Sang Penggesek Biola, Roman tentang Wage Rudolf Supratman (Imania); Empat Aku (Marjin Kiri); Terkutuk (Elex Media Komputindo); Cara Terbaik Menulis Kitab Suci (Penerbit Banana); Umbira dan Keajaiban-keajaiban di Kotak Ajaibnya (bukuKatta); dan Tunas Ibu (Indonesia Tera). Silakan menghubunginya melalui sosial media: Facebook : Yudhi Herwibowo Instagram : @yudhiherwibowo Blog : yudhiherwibowo@wordpress.com","Horor"
"Kemah Terlarang","Acara perkemahan akhir tahun semestinya menjadi kegiatan yang menyenangkan untuk dikenang. Namun, bagi Miko dan teman-temannya yang tergabung dalam Dewan Ambalang (panitia penyelenggara), kegiatan kemah itu menjadi mimpi buruk.

Terjadi kesurupan massal di lokasi perkemahan yang ternyata tempat wingit. Tragedi itu sempat diberitakan di media, tapi tak ada yang tahu jika memakan korban jiwa. Bahkan, Rini, salah satu peserta kemah yang sempat mengalami kesurupan, masih dirasuki oleh sosok gaib, yang membuatnya tak bisa hidup normal hingga kini.

Miko pun meminta tolong Mbah Sonto, sepuh yang menjaga tanah wingit itu.
Piye, isi eling karo aku?"" tanya Rini sambil menyeringai, membuat Miko ketakutan.
""Kamu melihatnya juga, Mas?"" bisik Mbah Sonto kepada Miko.
""Nggih, Mbah.""

Buku ini terinspirasi dari kisah nyata tragedi perkemahan salah satu sekolah di Yogyakarta yang terjadi pada 2016. Diceritakan lewat thread viral di X @Wakhidnurrokhim
 
Tahun Terbit : Cetakan Pertama, 2024


Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan.
 
Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas.

Tetapkan waktu khusus untuk membaca setiap hari. Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi.

Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca.

Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik.
 
Buat catatan atau jurnal tentang buku yang telah Anda baca. Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan.","Horor"
"Pengantin Setan","Serupa benang yang merajut satu per satu tahap kehidupan, mimpi-mimpi yang menghampiri tidur Echa bermula indah. Kehadirannya semacam pelarian menyenangkan atas kehidupan nyata yang tak sesuai harapan. Namun, Echa tidak menyadari bahwa semua itu berakhir dengan timbulnya teror demi teror yang berasal entah dari mana. Mampukah Echa menghadapi kengerian itu, dan mencari tahu apa kaitannya dengan mimpi-mimpi yang menghampiri tidurnya?

Prolog:
Echa tidak pernah menyangka bahwa dirinya akan mengalami pengalaman yang sangat ganjil dalam hidupnya. Dia lahir dan tinggal di lingkungan komplek dengan jalan depan rumah yang sering menjadi jalur orangorang hilir mudik ke komplek sebelah. Sempat ada beberapa kali kejadian motor dan mobil yang lewat di depan rumahnya mogok dengan alasan yang menurutnya tidak masuk akal. Bahkan pernah ada tamu yang berkunjung, kemudian melihat seorang kakek berjenggot berada di rumahnya. Awalnya, Echa tidak begitu peduli dengan selentingan-selentingan tersebut karena sebelumnya juga sering beredar bahwa rumah yang ditinggalinya ada penunggunya. Jadi, sejak itu, Echa tidak pernah menganggap serius ucapan-ucapan miring tentang rumahnya. Namun, ketika ada temannya yang juga berkata pernah melihat sesosok kakek berjenggot itu di lantai atas rumah, barulah Echa mulai memikirkan sesuatu.

Selling Point:
Penulis Hilang dalam Dekapan Semeru dan cerita yang dibukukan berasal dari konten youtube yang ditonton jutaan kali.

Profil Penulis:
FAJAR ADITYA sedang kuliah S2 Antropologi di Universitas Indonesia dan suka makan ikan. Selalu mencoba berpikir dengan logika terlebih dahulu jikalau ada fenomena-fenomena misteri. RJL 5 sepertinya adalah wadah yang tepat untuk menyambungkan pikiran tersebut.","Horor"
"Teror Pocong Duloh","Semua yang sudah ditakdirkan menjadi milik kita akan tetap selalu menjadi milik kita. Kita harus mulai menerima bahwa semua tidak bisa dipaksakan dan kita harus yakin yang milik kita tetap akan menjadi milik kita.

‘Pancasona, boga leluhur kuring
Diwariskeun ka incu kuring
Moal paeh di wanci poe
Moal paeh di wanci peuting

Kusebab ayana pancasona dina awak incu kuring.’
Duloh kecil yang hidup dalam kemiskinan tidak tahu bahwa kidung yang setiap malam ia dengar dari mulut rapuh neneknya adalah rapalan mantra ilmu Pancasona yang diturunkan Nenek Marnah. Ilmu sakti mandraguna yang membuatnya tak bisa mati.

Duloh bertahan hidup menjadi penggembala kambing yang terlibat cinta terlarang dengan anak juragannya. Karena dosa itu, ia dibunuh, lalu mayatnya dibuang ke Lembah Rara. Namun, Duloh bangkit menjadi pocong ketika tak sengaja ditemukan oleh seorang warga. Ia bergentayangan dan meneror desa Bojong Pinang, tanah para jawara, dari generasi ke generasi.

Pocong Duloh menjadi momok semua orang dan berusaha ditaklukkan oleh para jawara sakti sebagai alat tenung yang tak terkalahkan.

Diangkat dari kisah urband legend Banten yang dikisahkan oleh Rori lewat kanal Youtube Sarang Demit.

“Dia hanyalah manusia yang ingin merasakan belas kasih, tapi nasib terlalu bengis untuk sekadar membiarkannya benar-benar mati.”

Tahun Terbit : Cetakan Pertama, 2024","Horor"
"Masked Ward","Laki-laki bertopeng badut menyergap sebuah rumah sakit, meminta seorang dokter untuk merawat perempuan yang baru saja ia tembak.Hayamizu Shugo, yang menggantikan dinas seniornya di rumah sakit tersebut, ikut terjebak saat Si Badut malah menyandera seisi rumah sakit. Mereka berusaha untuk kabur, tetapi malah menemukan sebuah rahasia busuk....

Tentang Penulis
Chinen Mikito lahir pada 1978 di Okinawa. Saat ini ia tinggal di Tokyo dan bekerja sebagai seorang dokter. Sebagai seorang penulis misteri, ia memenangkan berbagai penghargaan mulai dari Bara no Machi Fukuyama Mistery Newcomer Prize, Keibundo Prize, Hiroshima Prize, Okinawa Bookstore Prize, juga menjadi nominasi Japan Bookseller Awards.

Tahun Terbit : Cetakan Pertama, Januari 2024


Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan.
 
Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas.

Tetapkan waktu khusus untuk membaca setiap hari. Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi.

Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca.
 
Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik.

Buat catatan atau jurnal tentang buku yang telah Anda baca. Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan.","Horor"
"Frankenstein","Victor Frankenstein yang merupakan ilmuwan, terobsesi untuk menciptakan kehidupan dari materi mati. Dengan pengetahuannya yang luas dalam ilmu pengetahuan alam, Victor berhasil menciptakan makhluk hidup, namun keberhasilannya malah membawanya pada konsekuensi yang mengerikan. 

Kisah ini berkembang melalui narasi rangkaian surat yang dikirimkan oleh Victor kepada sahabatnya, Kapten Walton, yang mencatat pengalaman tragisnya. Seiring berjalannya waktu, monster itu menjadi semakin putus asa dan marah terhadap penciptanya, Victor, karena penolakan dan penderitaan yang dia alami. Konflik antara Victor dan si monster mencapai puncaknya dalam pertarungan yang menghancurkan dan mengguncang fondasi moral dan etika.

Frankenstein oleh Mary Shelley bukan hanya sekadar cerita horor klasik, tetapi juga merupakan refleksi mendalam tentang dampak moral dan etika dari tindakan manusia, serta tentang bagaimana penolakan dan ketidaksetaraan dapat membentuk takdir seseorang.

Farankenstein menceritakan  jawaban yang memalukan. dari sifat kita dan menimbulkan rasa ngeri yang mendebarkan untuk membuat pembaca takut melihat sekeliling, merasa jijik, dan mempercepat detak jantung. Jika tidak mencapai hal-hal seperti ini, berarti cerita hantuku tidak layak. Aku berpikir, tetapi sia-sia. Aku merasa hampa dengan ketidakmampuan untuk menemukan hal baru dan ini merupakan sebuah kesengsaraan besar bagi penulis ketika rasa bosan tidak menjawab kecemasan. Pernahkah Anda memikirkan sebuah cerita? Aku ditanya setiap pagi dan terpaksa member jawaban yang melakukan.

Tahun Terbit : Cetakan Pertama, Februari, 2024","Horor"
"Creepy Case Club 2: Kasus Si Anak Indigo 2024","Apakah bakat itu sebuah berkah atau kutukan?

Sekolah Namira, Vedi, dan Jani dibuat heboh ketika Parva si murid baru menjerit-jerit ketakutan di dalam kelas, seperti melihat sesuatu yang tidak tampak oleh murid lain.

Seisi sekolah menganggap Parva aneh, tapi Namira, Vedi, dan Jani justru penasaran dan ingin membantu. Apa yang dilihat Parva hari itu? Kenapa “sesuatu” itu mendatanginya? Dan apa rahasia yang selama ini dipendamnya? Sebuah kasus baru untuk Creepy Case Club.

Lengkapi Koleksinya:
CREEPY CASE CLUB 1: KASUS NYANYIAN BERHANTU
CREEPY CASE CLUB 2: KASUS SI ANAK INDIGO 2024
CREEPY CASE CLUB 3: KASUS KUTUKAN CONGKLAK 2024
CREEPY CASE CLUB 4: KASUS POHON PEMANGGIL 2024
CREEPY CASE CLUB 5: KASUS JENDELA SILUMAN 2024
CREEPY CASE CLUB 6: KASUS HANTU PANGGUNG

Profil Penulis:
Rizal Iwan adalah penulis lepas yang tinggal di Jakarta. Karyanya pernah diterbitkan dalam beberapa buku kumpulan cerpen bersama penulis-penulis lain. Selain menulis, Kak Rizal juga hobi bermain teater dan menonton film, serta seperti Namira dan Jani, Kak Rizal sangat menyukai film animasi Disney, baik klasik maupun baru. Namira, Vedi, dan Jani juga bisa ditemui dalam buku sebelum ini, Creepy Case Club: Kasus Nyanyian Berhantu, serta buku-buku setelah ini, Creepy Case Club: Kasus Kutukan Congklak, Creepy Case Club: Kasus Pohon Pemanggil, Creepy Case Club: Kasus Jendela Siluman, dan Creepy Case Club: Kasus Hantu Panggung.","Horor"
"Creepy Case Club 3: Kasus Kutukan Congklak 2024","Sinopsis Buku Creepy Case Club 3: Kasus Kutukan Congklak 2024:
Memainkannya tidak boleh main-main.

Jani terjebak dalam kutukan permainan congklak misterius, Kutukan itu membawa Creepy Case Club ke petualangan baru. Mereka berhadapan dengan sebuah legenda tentang kerajaan purba dan cerita mengerikan dari permainan anak-anak.

Di saat yang sama, Jani juga berkutat dengan ketakutannya sendiri ketika harus menghadapi ibunya yang ambisius.

Lengkapi Koleksinya:
CREEPY CASE CLUB 1: KASUS NYANYIAN BERHANTU
CREEPY CASE CLUB 2: KASUS SI ANAK INDIGO 2024
CREEPY CASE CLUB 3: KASUS KUTUKAN CONGKLAK 2024
CREEPY CASE CLUB 4: KASUS POHON PEMANGGIL 2024
CREEPY CASE CLUB 5: KASUS JENDELA SILUMAN 2024
CREEPY CASE CLUB 6: KASUS HANTU PANGGUNG

Profil Penulis:
Rizal Iwan adalah penulis lepas yang tinggal di Jakarta. Karyanya pernah diterbitkan dalam beberapa buku kumpulan cerpen bersama penulis-penulis lain. Selain menulis, Kak Rizal juga hobi bermain teater dan menonton film, serta seperti Namira dan Jani, Kak Rizal sangat menyukai film animasi Disney, baik klasik maupun baru. Namira, Vedi, dan Jani juga bisa ditemui dalam buku sebelum ini, Creepy Case Club: Kasus Nyanyian Berhantu, serta buku-buku setelah ini, Creepy Case Club: Kasus Kutukan Congklak, Creepy Case Club: Kasus Pohon Pemanggil, Creepy Case Club: Kasus Jendela Siluman, dan Creepy Case Club: Kasus Hantu Panggung.","Horor"
